instance,algorithm,cost,permutation
bur26f,STEEPEST,3801294,19 20 8 4 10 21 1 2 13 3 0 5 25 15 11 9 6 16 18 17 12 7 22 24 14 23
bur26f,STEEPEST,3826943,11 14 1 23 12 3 0 8 17 6 21 15 25 16 10 4 20 24 18 13 9 22 2 19 7 5
bur26f,STEEPEST,3799371,14 4 8 7 11 21 23 2 10 19 20 25 15 6 13 9 3 16 18 17 12 5 1 24 0 22
bur26f,STEEPEST,3828531,10 14 0 23 12 3 22 24 18 19 20 15 25 17 11 4 21 7 16 13 9 5 2 1 8 6
bur26f,STEEPEST,3822337,11 25 20 14 18 3 23 6 15 9 24 2 21 17 10 7 0 12 4 13 16 22 8 19 5 1
bur26f,STEEPEST,3839493,17 20 9 1 12 25 4 14 16 6 2 19 8 10 21 24 23 18 13 11 7 22 3 0 15 5
bur26f,STEEPEST,3812512,0 14 25 4 11 6 8 3 12 2 20 15 7 16 10 5 23 17 13 18 9 24 1 19 21 22
bur26f,STEEPEST,3782747,8 2 12 20 18 1 3 5 17 7 6 19 4 0 9 21 23 10 13 11 16 22 25 14 15 24
bur26f,STEEPEST,3813519,11 24 4 14 18 22 19 6 17 1 5 21 3 16 10 15 20 12 2 13 9 23 8 0 7 25
bur26f,STEEPEST,3783354,15 19 10 22 16 14 21 9 18 8 25 20 23 1 5 0 3 11 12 13 17 2 24 4 7 6
bur26f,STEEPEST,3783919,7 6 11 19 17 0 20 25 18 23 24 14 3 4 9 1 21 13 12 10 16 2 15 22 8 5
bur26f,STEEPEST,3794964,21 1 25 7 12 5 6 4 13 23 20 8 15 11 2 9 22 18 16 17 10 24 14 19 3 0
bur26f,STEEPEST,3821319,10 5 4 20 18 22 23 24 9 6 8 21 1 16 17 25 0 12 2 11 13 14 3 7 15 19
bur26f,STEEPEST,3809307,20 2 8 15 10 5 24 4 13 23 0 7 25 12 11 21 22 17 9 16 18 6 19 1 14 3
bur26f,STEEPEST,3783182,8 1 11 2 18 21 3 7 16 25 24 0 4 19 9 20 22 10 13 12 17 23 6 14 15 5
bur26f,STEEPEST,3820805,17 25 21 9 16 22 14 8 10 1 15 20 3 12 7 19 6 11 18 13 4 2 24 5 0 23
bur26f,STEEPEST,3791915,7 6 19 4 17 1 0 24 12 21 25 14 3 16 9 2 5 13 10 11 18 20 15 22 8 23
bur26f,STEEPEST,3798836,14 4 7 5 11 8 22 0 12 2 23 25 6 15 13 9 20 16 17 18 10 24 1 3 21 19
bur26f,STEEPEST,3820062,11 5 4 14 18 23 0 25 7 22 6 12 3 16 10 24 1 17 2 13 9 21 8 19 15 20
bur26f,STEEPEST,3782932,7 21 10 19 17 2 14 25 18 8 24 0 3 1 9 4 22 11 13 12 16 23 5 20 15 6
bur26f,STEEPEST,3838529,11 15 9 5 17 24 8 3 10 23 20 2 14 12 18 25 7 4 13 16 1 6 19 21 0 22
bur26f,STEEPEST,3783241,8 0 10 14 18 22 21 7 16 6 24 20 23 1 9 19 2 11 12 13 17 3 5 4 25 15
bur26f,STEEPEST,3783182,7 1 11 0 17 19 3 8 16 24 25 21 4 2 9 20 22 12 13 10 18 23 6 14 15 5
bur26f,STEEPEST,3782068,7 14 0 23 17 3 19 6 18 8 5 11 2 20 9 4 21 12 10 13 16 22 24 1 15 25
bur26f,STEEPEST,3782290,8 14 3 19 18 0 22 15 17 7 25 11 21 20 9 4 2 12 13 10 16 23 24 1 5 6
bur26f,STEEPEST,3796245,14 21 25 4 13 8 6 2 11 1 22 7 5 9 10 15 3 17 16 18 12 24 23 19 0 20
bur26f,STEEPEST,3790584,7 25 3 20 17 1 23 15 10 0 24 2 14 16 9 4 5 12 13 11 18 22 6 21 19 8
bur26f,STEEPEST,3782680,7 20 3 19 17 1 22 8 16 24 25 10 14 21 9 4 0 12 13 11 18 23 6 2 15 5
bur26f,STEEPEST,3782690,8 3 13 22 18 2 23 6 17 7 5 19 14 0 9 4 20 10 11 12 16 21 24 1 15 25
bur26f,STEEPEST,3812157,11 23 7 4 10 5 25 3 12 2 0 15 24 8 13 21 1 18 17 16 9 6 19 22 14 20
bur26f,STEEPEST,3796067,0 23 24 4 12 8 5 3 11 1 14 7 15 9 10 25 21 17 16 18 13 6 2 19 20 22
bur26f,STEEPEST,3835187,12 6 4 9 17 14 23 5 10 0 21 8 20 18 7 3 24 11 16 13 2 15 22 25 19 1
bur26f,STEEPEST,3783898,7 5 10 1 17 20 19 15 18 3 6 22 14 4 9 0 21 13 12 11 16 2 24 23 8 25
bur26f,STEEPEST,3782756,7 20 11 2 17 21 19 25 18 8 24 22 23 14 9 1 0 13 10 12 16 4 6 3 15 5
bur26f,STEEPEST,3796836,14 20 7 4 12 6 24 1 10 0 21 15 25 8 13 9 22 18 17 16 11 5 2 23 3 19
bur26f,STEEPEST,3783182,8 0 10 14 18 3 21 7 16 24 25 1 4 20 9 19 22 11 12 13 17 23 5 2 15 6
bur26f,STEEPEST,3787723,15 0 2 20 16 4 21 7 18 9 25 14 23 19 6 10 3 13 12 11 17 1 24 22 8 5
bur26f,STEEPEST,3783208,7 4 11 1 17 19 2 8 16 6 5 14 0 23 9 20 22 13 12 10 18 21 25 3 15 24
bur26f,STEEPEST,3821385,19 2 8 6 10 21 7 4 13 3 1 24 15 12 11 9 25 16 18 17 20 5 0 23 14 22
bur26f,STEEPEST,3782923,15 21 14 0 16 2 3 9 17 7 6 10 19 20 25 4 22 11 13 12 18 23 5 1 8 24
bur26f,STEEPEST,3782068,8 14 2 22 18 3 21 6 17 7 5 11 19 1 9 4 0 10 12 13 16 23 25 20 15 24
bur26f,STEEPEST,3809188,7 2 4 21 17 23 20 8 15 3 24 19 14 18 9 12 1 10 11 13 16 22 6 0 25 5
bur26f,STEEPEST,3821975,1 3 9 24 11 14 6 0 12 21 23 16 15 13 18 7 8 10 25 17 4 5 20 19 2 22
bur26f,STEEPEST,3782558,7 22 13 21 17 2 3 5 18 8 6 0 14 4 9 23 20 10 11 12 16 1 24 19 15 25
